Atom,BDE (kcal/mol),Propensity
C1,72.35,High
C3,87.87,High
C5,95.73,Low
C6,93.34,Moderate
C11,92.32,Moderate
C12,99.42,Low
C14,96.03,Low
C17,93.91,Moderate
C20,80.73,High
C23,96.09,Low
C26,97.96,Low
C27,96.05,Low
C28,74.76,High
C34,114.25,Low
C35,111.45,Low
C37,85.01,High
C39,112.76,Low
C40,112.63,Low
C41,97.65,Low
C43,86.03,High
C45,112.55,Low
C46,85.22,High
C51,109.79,Low
C53,112.31,Low
C54,112.21,Low
C57,112.7,Low
C58,114.32,Low
C59,110.16,Low
C60,112.35,Low
C61,112.66,Low
C62,112.38,Low
