molecule title: CLARITHROMYCIN, rank: 10
molecule title: CORTISOL, rank: 2
molecule title: FELODIPINE, rank: 1
molecule title: SENECIONINE, rank: 1
molecule title: adinazolam, rank: 3
molecule title: alfentanil, rank: 2
molecule title: amiodarone, rank: 3
molecule title: azelastine, rank: 5
molecule title: beta_arteether, rank: 9
molecule title: buprenorphine, rank: 3
molecule title: citalopram, rank: 3
molecule title: clozapine, rank: 5
molecule title: codeine, rank: 5
molecule title: colchicine, rank: 4
molecule title: dexamethasone, rank: 2
molecule title: dextromethorphan, rank: 3
molecule title: diazepam, rank: 1
molecule title: diltiazem, rank: 4
molecule title: docetaxel, rank: 18
molecule title: ebastine, rank: 5
molecule title: erythromycin, rank: 12
molecule title: etoposide, rank: 13
molecule title: fentanyl, rank: 3
molecule title: halofantrine, rank: 3
molecule title: haloperidol, rank: 3
molecule title: iloperidone, rank: 7
molecule title: indinavir, rank: 2
molecule title: laam, rank: 2
molecule title: lilopristone, rank: 7
molecule title: loratadine, rank: 1
molecule title: lovastatin, rank: 1
molecule title: midazolam, rank: 2
molecule title: nifedipine, rank: 1
molecule title: pimozide, rank: 3
molecule title: propafenone, rank: 5
molecule title: quinidine, rank: 1
molecule title: salmeterol, rank: 3
molecule title: saquinavir, rank: 16
molecule title: seratrodast, rank: 4
molecule title: tamoxifen, rank: 3
molecule title: teniposide, rank: 12
molecule title: terbinafine, rank: 2
molecule title: terfenadine, rank: 10
molecule title: testosterone, rank: 1
molecule title: verapamil, rank: 4
molecule title: zaleplon, rank: 1
molecule title: pranidipine, rank: 2
