zaretzki_index,atomic_index,zaretzki_atomic_index,bde,som_level
219,12,219012,66.56,0
182,10,182010,71.4,0
287,14,287014,70.33,0
34,1,34001,72.35,0
91,12,91012,72.95,0
118,28,118028,73.66,0
219,10,219010,72.03,0
447,22,447022,73.83,0
18,20,18020,75.06,0
34,28,34028,74.76,0
107,14,107014,75.33,0
118,23,118023,75.47,0
123,7,123007,75.64,0
182,12,182012,74.51,0
39,15,39015,76.08,0
51,26,51026,77.16,0
63,9,63009,77.75,0
182,32,182032,77.55,0
189,9,189009,77.94,0
290,24,290024,77.43,0
51,10,51010,78.52,0
61,12,61012,78.23,0
158,15,158015,79.68,0
167,2,167002,78.25,0
267,10,267010,78.93,0
34,20,34020,80.73,0
39,12,39012,80.06,0
85,9,85009,80.22,0
187,21,187021,81.17,0
189,6,189006,81.17,0
219,20,219020,81.89,0
285,5,285005,81.31,0
285,41,285041,81.03,0
16,11,16011,83.87,0
16,14,16014,83.76,0
33,10,33010,82.92,0
63,7,63007,83.73,0
73,10,73010,83.54,0
73,16,73016,83.74,0
91,8,91008,83.17,0
91,10,91010,83.39,0
109,14,109014,83.08,0
116,10,116010,82.52,0
118,40,118040,83.49,0
137,1,137001,82.72,0
182,18,182018,83.89,0
182,20,182020,82.78,0
187,17,187017,82.32,0
219,13,219013,82.51,0
219,18,219018,83.34,0
267,8,267008,82.23,0
271,18,271018,82.64,0
285,10,285010,83.16,0
34,37,34037,85.01,0
34,46,34046,85.22,0
92,15,92015,84.64,0
118,36,118036,84.93,0
118,43,118043,84.53,0
137,3,137003,85.63,0
137,11,137011,84.3,0
142,2,142002,85.59,0
187,7,187007,84.24,0
187,8,187008,85.1,0
189,25,189025,85.89,0
240,2,240002,85.65,0
245,11,245011,84.79,0
268,2,268002,85.57,0
285,3,285003,85.55,0
309,26,309026,85.45,0
16,34,16034,87.79,0
34,3,34003,87.87,0
34,43,34043,86.03,0
43,16,43016,86.97,0
107,3,107003,87.23,0
130,3,130003,87.6,0
130,33,130033,87.46,0
167,15,167015,86.61,0
167,27,167027,87.38,0
268,18,268018,87.03,0
268,28,268028,86.62,0
447,17,447017,87.97,0
16,15,16015,89.61,0
18,12,18012,88.7,0
18,23,18023,89.18,0
20,15,20015,88.26,0
20,18,20018,88.23,0
43,12,43012,89.37,0
73,30,73030,89.03,0
91,20,91020,89.56,0
92,13,92013,88.99,0
109,17,109017,89.35,0
116,13,116013,89.92,0
118,13,118013,89.53,0
123,17,123017,89.19,0
123,19,123019,88.93,0
123,22,123022,88.47,0
130,8,130008,88.23,0
130,11,130011,89.46,0
130,16,130016,89.38,0
130,32,130032,89.96,0
159,17,159017,88.84,0
167,13,167013,89.57,0
167,18,167018,88.62,0
167,28,167028,89.62,0
178,6,178006,88.11,0
182,21,182021,88.57,0
212,13,212013,89.01,0
212,14,212014,88.48,0
219,21,219021,88.04,0
240,8,240008,88.52,0
240,19,240019,88.64,0
268,8,268008,89.72,0
268,13,268013,89.8,0
280,25,280025,89.46,0
309,23,309023,89.72,0
447,14,447014,88.33,0
16,1,16001,91.16,0
16,3,16003,90.5,0
18,2,18002,91.11,0
18,5,18005,90.15,0
33,7,33007,90.19,0
33,20,33020,91.14,0
43,8,43008,91.2,0
43,23,43023,91.1,0
61,20,61020,90.16,0
61,22,61022,91.14,0
61,24,61024,90.15,0
63,6,63006,91.43,0
85,20,85020,91.18,0
89,18,89018,91.89,0
89,20,89020,91.53,0
89,21,89021,90.75,0
107,10,107010,91.36,0
107,11,107011,90.23,0
118,2,118002,90.15,0
118,3,118003,91.12,0
130,5,130005,90.89,0
130,13,130013,91.39,0
130,40,130040,91.66,0
137,7,137007,90.82,0
137,25,137025,91.09,0
137,27,137027,90.96,0
137,33,137033,91.65,0
137,41,137041,91.61,0
142,10,142010,90.76,0
142,15,142015,90.95,0
142,24,142024,91.07,0
167,5,167005,90.92,0
167,21,167021,90.12,0
167,29,167029,91.76,0
167,31,167031,90.97,0
182,13,182013,90.31,0
189,16,189016,91.0,0
189,20,189020,91.22,0
189,22,189022,91.66,0
235,13,235013,91.01,0
235,15,235015,90.78,0
240,20,240020,90.42,0
267,11,267011,90.61,0
268,3,268003,91.45,0
271,23,271023,91.63,0
285,29,285029,91.11,0
292,11,292011,90.34,0
16,19,16019,92.1,0
16,22,16022,92.29,0
16,24,16024,92.38,0
16,37,16037,93.41,0
34,6,34006,93.34,0
34,11,34011,92.32,0
34,17,34017,93.91,0
43,6,43006,93.03,0
43,17,43017,93.2,0
63,16,63016,93.49,0
63,19,63019,93.58,0
89,17,89017,92.77,0
116,9,116009,92.21,0
118,6,118006,92.75,0
118,19,118019,93.81,0
130,2,130002,93.6,0
130,4,130004,93.23,0
130,12,130012,93.88,0
130,14,130014,92.67,0
130,39,130039,93.42,0
130,42,130042,92.93,0
130,43,130043,92.07,0
137,32,137032,92.36,0
137,34,137034,93.91,0
137,36,137036,92.93,0
142,12,142012,92.81,0
158,17,158017,92.37,0
187,18,187018,92.66,0
187,20,187020,92.37,0
235,11,235011,93.5,0
245,12,245012,93.4,0
267,14,267014,92.65,0
267,19,267019,92.92,0
267,21,267021,93.93,0
280,24,280024,93.65,0
285,20,285020,93.62,0
285,27,285027,93.2,0
285,35,285035,93.57,0
290,18,290018,92.95,0
290,19,290019,93.12,0
292,10,292010,93.97,0
