zaretzki_index,atomic_index,zaretzki_atomic_index,relative_ir,som_level
34,3,34003,0.5399629686776732,0
34,5,34005,0.5381114025613332,0
91,8,91008,0.5469195156695158,0
118,3,118003,0.5320132521765929,0
118,6,118006,0.5323214423299176,0
123,22,123022,0.5488953437197429,0
130,9,130009,0.5243247998592416,0
182,10,182010,0.5040373577196224,0
187,17,187017,0.5093684941013185,0
187,21,187021,0.5093684941013185,0
219,31,219031,0.548241489561783,0
267,19,267019,0.5105888113600195,0
267,21,267021,0.5138939894723956,0
268,8,268008,0.5042000262501641,0
268,13,268013,0.5103031893949338,0
268,28,268028,0.5230345189657436,0
268,33,268033,0.5255939099619373,0
285,10,285010,0.5098518156652011,0
309,10,309010,0.5182596291012839,0
16,8,16008,0.5962874989003255,0
16,38,16038,0.5519486232075306,0
34,28,34028,0.5773800339453788,0
63,19,63019,0.551130247578041,0
63,22,63022,0.5862935055615357,0
73,13,73013,0.5822544071391997,0
118,28,118028,0.579705678403575,0
123,7,123007,0.5970425138632162,0
130,8,130008,0.5771971496437054,0
137,11,137011,0.5557318894697536,0
159,17,159017,0.5994655086019709,0
290,24,290024,0.5768175582990398,0
16,1,16001,0.6426497756664028,0
34,6,34006,0.6252121586174972,0
34,20,34020,0.6316926400246876,0
51,25,51025,0.6292042657916326,0
91,12,91012,0.6109330484330485,0
116,9,116009,0.6421880227500837,0
118,4,118004,0.621234301564065,0
130,12,130012,0.6044690771531627,0
142,2,142002,0.6137675540622038,0
142,12,142012,0.6395278711122598,0
182,20,182020,0.6162078023154003,0
187,18,187018,0.6292505204718946,0
187,20,187020,0.6292505204718946,0
219,20,219020,0.6230016926838442,0
240,2,240002,0.6265060240963856,0
280,24,280024,0.6147453654378863,0
285,7,285007,0.6266894642566356,0
309,26,309026,0.6380884450784593,0
43,17,43017,0.6824114356743319,0
63,4,63004,0.677789738069609,0
116,10,116010,0.6816661090665775,0
116,12,116012,0.6817497490799599,0
130,13,130013,0.6816222398170141,0
137,14,137014,0.6896938013442868,0
167,38,167038,0.6763509037569793,0
167,39,167039,0.6763509037569793,0
167,40,167040,0.6763509037569793,0
267,8,267008,0.6539356102338106,0
268,18,268018,0.6710854442840268,0
285,37,285037,0.6785539814362481,0
63,21,63021,0.7087668939122116,0
73,21,73021,0.7258430253821959,0
