zaretzki_index,atomic_index,zaretzki_atomic_index,relative_ir,som_level
112,13,112013,0.722871883061049,3
200,12,200012,0.7793476199506922,3
285,30,285030,0.7896108125712425,3
285,32,285032,0.7896108125712425,3
167,7,167007,0.7780827103245954,1
73,31,73031,0.8828176431863067,3
137,29,137029,0.8764936519790888,3
137,30,137030,0.8764936519790888,3
187,24,187024,0.8929562803608605,3
290,32,290032,0.8546810699588477,3
290,33,290033,0.8546810699588477,3
290,34,290034,0.8546810699588477,3
314,22,314022,0.8947970268724985,3
159,1,159001,0.8875897778520127,2
159,5,159005,0.8875897778520127,2
287,13,287013,0.875277901289462,2
39,23,39023,0.9235007225433528,3
39,24,39024,0.9235007225433528,3
92,8,92008,0.9010838562464346,3
92,10,92010,0.9010838562464346,2
18,13,18013,0.9757711602092004,3
20,1,20001,1.0,3
33,1,33001,1.0,3
33,8,33008,0.972683502014346,3
43,10,43010,1.0,3
61,27,61027,1.0,3
63,2,63002,1.0,3
85,22,85022,1.0,3
85,23,85023,1.0,3
89,22,89022,1.0,3
91,21,91021,1.0,3
107,20,107020,1.0,3
109,18,109018,0.9859756589022326,3
116,15,116015,1.0,3
116,16,116016,1.0,3
123,21,123021,1.0,3
130,48,130048,1.0,3
130,49,130049,1.0,3
142,8,142008,1.0,3
158,19,158019,1.0,3
158,23,158023,1.0,3
159,7,159007,1.0,3
167,35,167035,1.0,3
178,20,178020,1.0,3
178,21,178021,1.0,3
182,1,182001,1.0,3
182,3,182003,1.0,3
189,2,189002,1.0,3
212,7,212007,1.0,3
219,1,219001,1.0,3
219,3,219003,1.0,3
235,17,235017,0.9821727019498608,3
240,23,240023,0.958088765317681,3
245,15,245015,1.0,3
271,17,271017,1.0,3
280,27,280027,0.9898785425101216,3
280,28,280028,0.9898785425101216,3
292,7,292007,1.0,3
447,1,447001,1.0,3
112,10,112010,1.0,2
200,15,200015,1.0,2
290,21,290021,1.0,2
