zaretzki_index,atomic_index,zaretzki_atomic_index,sasa_hydrogen_maestro,som_level
18,4,18004,18.4846216048399,0
18,18,18018,19.0932286591681,0
73,22,73022,18.0272635691887,0
89,18,89018,19.66356698279465,0
89,21,89021,19.51871409428375,0
91,20,91020,19.3028358022202,0
107,14,107014,19.10749853789845,0
109,16,109016,18.8543046511089,0
130,38,130038,19.890973609379035,0
167,38,167038,19.1120248907624,0
167,40,167040,18.36192253778737,0
187,8,187008,18.2576216659506,0
187,18,187018,18.97841351673255,0
187,20,187020,18.5060943081298,0
189,28,189028,18.270562708049333,0
219,26,219026,18.476626944101,0
219,27,219027,18.01477868033065,0
235,12,235012,18.0332615266713,0
235,16,235016,18.30899913732305,0
240,2,240002,19.0784247871236,0
267,14,267014,18.6144178962319,0
267,15,267015,18.3352288964544,0
268,15,268015,19.04147741567315,0
292,13,292013,18.796262138519403,0
18,20,18020,20.59236557646245,0
18,23,18023,20.9259239531376,0
33,5,33005,20.664187627702148,0
33,10,33010,20.3474401553205,0
33,22,33022,21.0764961769257,0
63,15,63015,21.17122389139935,0
63,22,63022,21.9867126633875,0
73,21,73021,21.13682366977213,0
73,26,73026,20.89406420046414,0
89,20,89020,20.2767932459008,0
91,10,91010,20.0407205967369,0
92,13,92013,21.2937340587716,0
92,14,92014,20.578289296049952,0
109,9,109009,21.889159509134352,0
118,9,118009,20.2784403605686,0
130,31,130031,20.4625983427555,0
130,45,130045,20.465702563517866,0
182,18,182018,21.3861284350456,0
182,26,182026,21.5787633757193,0
187,7,187007,21.26201874404035,0
189,13,189013,20.5368307782727,0
245,16,245016,20.4950326964365,0
267,18,267018,21.240418811912495,0
267,19,267019,20.2458796448787,0
267,21,267021,20.4344112049644,0
268,21,268021,20.050853177180365,0
20,25,20025,23.9593128539797,0
61,25,61025,22.248560217329448,0
63,21,63021,22.4532440836197,0
63,23,63023,23.97959544775053,0
73,32,73032,22.4755860669707,0
91,12,91012,22.4073327966347,0
123,32,123032,23.60346939621823,0
123,33,123033,22.81026128115504,0
123,34,123034,23.49509223900904,0
130,37,130037,22.771058909238235,0
158,21,158021,23.1879010111614,0
158,25,158025,23.6846268094979,0
178,25,178025,23.697425874245635,0
189,29,189029,22.921731072267164,0
219,18,219018,23.95069238412335,0
219,32,219032,22.5396020003564,0
240,24,240024,23.609334435732748,0
245,21,245021,23.47133137568275,0
271,23,271023,22.01975097708665,0
280,13,280013,23.747270938449034,0
285,37,285037,22.3979743909089,0
447,22,447022,22.7424474544279,0
20,23,20023,24.33117131509705,0
33,7,33007,25.608831139135603,0
63,18,63018,24.057265001439163,0
85,9,85009,24.95254970896685,0
107,16,107016,24.43059505033827,0
167,5,167005,24.1231709179235,0
189,11,189011,25.2424164450141,0
189,20,189020,24.5173236227307,0
189,22,189022,24.0489206651185,0
212,13,212013,25.556536937674636,0
212,14,212014,25.55321540221373,0
245,20,245020,25.25430409255805,0
267,8,267008,24.62377933212605,0
268,17,268017,24.68796299622365,0
268,20,268020,25.358293989133102,0
287,20,287020,25.904907489080767,0
287,21,287021,25.92766231235676,0
287,22,287022,25.489397736511,0
314,20,314020,25.28109081546583,0
314,23,314023,25.98337034284937,0
20,15,20015,26.21836351907683,0
20,18,20018,26.46726906328256,0
39,15,39015,27.87266112707005,0
43,8,43008,27.34640787511875,0
109,10,109010,27.91624937289905,0
116,20,116020,27.402319745807603,0
137,42,137042,27.3269951627154,0
158,22,158022,27.21595548666457,0
178,26,178026,27.8866228810855,0
182,21,182021,27.4351946570729,0
219,21,219021,27.01105188609275,0
271,18,271018,26.081068814322865,0
447,14,447014,26.44019035834773,0
447,17,447017,27.074671640759664,0
20,24,20024,28.628939032142966,0
43,9,43009,29.71013051777793,0
43,24,43024,28.869184095661268,0
73,33,73033,28.40790616436575,0
73,34,73034,28.4227031241777,0
92,28,92028,29.94627176157149,0
137,41,137041,29.3994765972586,0
158,26,158026,29.350063891135136,0
212,21,212021,29.01345794780977,0
212,24,212024,29.0361868803894,0
240,25,240025,28.640335604896165,0
245,23,245023,29.43290396735833,0
447,23,447023,28.645529126050462,0
43,20,43020,31.64879396737117,0
63,1,63001,30.849676287621502,0
109,20,109020,31.274693237414567,0
142,25,142025,30.597843849928235,0
182,32,182032,31.0161191276799,0
187,25,187025,31.94740640669133,0
91,22,91022,32.58242463302877,0
92,25,92025,32.84570591293923,0
116,29,116029,32.568697161766465,0
137,27,137027,37.649735724450295,0
285,29,285029,38.26614809656495,0
