Atom,BDE (kcal/mol),Propensity
C1,91.16,Moderate
C3,90.5,Moderate
C5,94.77,Low
C7,101.71,Low
C8,95.28,Low
C9,100.3,Low
C10,94.14,Low
C11,83.87,High
C12,94.85,Low
C14,83.76,High
C15,89.61,Moderate
C18,100.64,Low
C19,92.1,Moderate
C21,101.55,Low
C22,92.29,Moderate
C24,92.38,Moderate
C25,98.4,Low
C27,99.42,Low
C31,99.16,Low
C33,102.69,Low
C34,87.79,High
C35,101.07,Low
C37,93.41,Moderate
C38,94.34,Low
C39,92.86,Moderate
C40,92.84,Moderate
C43,95.89,Low
C45,101.51,Low
C46,102.45,Low
C47,96.83,Low
C48,103.0,Low
C51,95.65,Low
C52,100.97,Low
